ISBN;Наименование ;Автограф;Заказ;Серия;Авторы;Издательство;Год;Упак.;Стр.;Код;Код ЕАН;Цена;Номенклатура ставка НДС;Переплет;Формат книги;Вес;Тип издания;Категория;Аннотация;Печ ссылка
978-5-4335-0991-7;Один “напыщенный” день Юры Фрукта и Вовы Овоща;;;Попали в переплет;Беленкова К.А.;НИГМА;2022;11;72;NF0022495  ;9785433509917;520;10;Переплет;70 х 100 (1/16);0,375;;12+;"Юра Фрукт и Вова Овощ живут на одном этаже, но раньше никогда не общались. Но сегодня какой-то совершенно неудачный и во всех отношениях необычный день. Именно сегодня, когда пошёл майский снег, Вова решил уйти из дома, а Юру на целую неделю лишили интернета! Пришлось соседям познакомиться ближе и отправиться на поиски приключений. Вместе они решили найти таинственного Коллекционера интересов. Говорят, он знает, как решить проблему с родителями и интернетом.
Эта ироническая история стала финалистом конкурса «Новая детская книга» в 2018 году.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022495,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0997-9;А бегемота нет! ;;1;вне серии;Тараненко М.В.;НИГМА;2022;19;32;NF0022846  ;9785433509979;450;10;Переплет;60 х 100 (1/8) ;0,4;;0+;"Взрослые целыми днями заняты своими скучными взрослыми делами. А вот был бы у меня бегемот, огромный, зелёный, красивый бегемот, я бы весь день играл с ним, гулял, кормил его и катался бы на нём. Но взрослые приходят домой с работы, и ни у кого из них нет бегемота: ни у мамы, ни у папы, ни у дедушки. Что же делать?
С этой книгой можно играть! Смотри во все глаза – и ты найдёшь бегемота почти на каждой странице. Сможешь их посчитать? Игру придумали писатель Марина Тараненко и художник Юлия Сиднева";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022846,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1148-4;А снег все шел и шел…;;4;вне серии;Русинова Е.А.;НИГМА;2024;19;36;NF0029174;9785433511484;550;10;Переплет;60 х 90 (1/8);0,435;;0+;"А снег всё шёл и шёл… И собачка Бусинка всё никак не могла отыскать дом, где она жила со своим хозяином, с которым только что играла в прятки во дворе. В новом районе все высотки так похожи одна на другую. Как же найти свой дом? Ведь скоро Новый год! На помощь Бусинке приходят новые друзья — обыкновенный рыжий кот и ворона Даша.
Несмотря на снег и мороз, эта история согревает: она рассказывает о поддержке тех, кто не прошёл мимо, и о вере в чудо…";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0029174,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1070-8;Авантюрный роман. Воспоминания;;;Красный каптал;"Тэффи Н.А.; Эрлихман В.В. (предисловие)";НИГМА;2024;5;320;NF0027638  ;9785433510708;650;10;Переплет;70 х 90 (1/16);0,64;Сборник;16+;"Надежда Александровна Тэффи (Лохвицкая) — блестящая русская писательница, автор атмосферных, полных множества полутонов и нюансов произведений в широкой гамме литературных жанров.
В предлагаемый сборник вошли «Авантюрный роман» и «Воспоминания» писательницы. В «Авантюрном романе» Тэффи с присущим ей вкусом и глубокой психологической достоверностью представляет читателю историю любовных отношений между главной героиней — Наташей, манекенщицей модного дома «Манель» в Париже, и странным молодым человеком, который то появляется в её жизни, то исчезает. Одну из изюминок произведения составило удивительно точное и безжалостное описание нравов эмигрантской среды. «Воспоминания» посвящены прощанию писательницы с родиной. Пёстрый, как лоскутное одеяло, сотканный из тонких наблюдений рассказ о вынужденном путешествии из Москвы в Киев и Одессу, а затем — в Париж во время Гражданской войны раскрывает перед нами печальные страницы российской истории.
";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0027638,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1075-3;Автомобильчик;;5;вне серии;Левданская Ю.Н.;НИГМА;2024;20;40;NF0029192;9785433510753;600;10;Переплет;60 х 90 (1/6);0,5;;0+;Старый Автомобильчик давно стоял во дворе без дела, хозяин про него совсем забыл. Автомобильчик скучал, но очень надеялся, что когда-нибудь снова сможет стать полезным. И однажды он всё-таки решил отправиться в путешествие. Автомобильчик долго колесил по городу, встретил множество разных машин и даже познакомился с большими кораблями! Однако новые автомобили только посмеивались над ним. Мечта найти себе дело таяла с каждым часом, но неожиданно Автомобильчик заметил большой старомодный Автобус…;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0029192,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0115-7;Азбука вежливости;;;вне серии;Васильева-Гангнус Л.П.;НИГМА;2024;11;184;NF0028456  ;9785433501157;800;10;Переплет;70 х 100 (1/16);0,65;;0+;"Когда-то много-много лет назад добрая сказочница Людмила Васильева-Гангнус познакомилась с феей Здрасте, которая жила в сказочном городе. Дома там были сложены из шоколада, крыши были леденцовыми, а оконные ставни из кренделей. А самое главное – в этом городе жили сказочно вежливые люди. Но вот беда: иногда достаточно вмешательства одного невежливого капризного мальчика, чтобы всё пошло прахом.
Книге «Азбука вежливости» уже более 30 лет. Опытные педагоги и воспитатели утверждают, что она и до сегодняшнего дня не потеряла своей актуальности. В игровой форме, путешествуя по сказочному городу и попадая в переделки с забавными героями этой книги, ребёнок постигает основы социальной адаптации, этикета и навыки общения.
Забавные иллюстрации выполнены замечательным художником Сергеем Александровичем Алимовым.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0028456,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0963-4;Азот и Селедочкина. П.Ушкин и пиксели;;;Всякое такое;Ая эН;НИГМА;2022;16;192;NF0022173  ;9785433509634;500;10;Обложка;60 х 90 (1/16);0,37;;12+;"Две фантастических истории о жизни и школе, о первой любви и первых разочарованиях. Школьники изучают химию и жизнь не только по учебникам. На этих фантастических уроках сбываются мечты, оживают пиксели и элементы периодической таблицы.
Ая Эн – физик и лирик в одном лице. Финалист и лауреат нескольких литературных
конкурсов. Создатель фантастических вселенных и, пожалуй, самый весёлый
современный подростковый автор. Повесть «Азот и Селёдочкина» вышла в финал Всероссийского конкурса на лучшее произведение для детей и подростков «Книгуру».";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022173,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1074-6;Алена на чердаке;;;Всякое такое;"Лукас О.; Ил. К.О. Зобниной";НИГМА;2024;12;224;NF0027284  ;9785433510746;500;10;Обложка;60 х 90 (1/16);0,425;;12+;"Первого апреля — день дурака, а второго — день рождения у Есении (да, с именем тоже «повезло»). Тринадцать лет, а это значит, что детство позади, надо праздновать по-взрослому. Поездка на дачу (без родителей), тематическая вечеринка (в викторианском стиле) и увлекательная ролевая игра в детектив — вот что ждёт Есению и её приятельниц. Однако именинница волнуется — вдруг что-то пойдёт не так? И не зря она тревожилась. Кажется, в разгар праздника происходит не игровое, а настоящее преступление! Причём мотив есть у каждой из девочек, приглашённых на вечеринку: ревность, месть, корысть… Все подозревают всех, никто не чувствует себя в безопасности. Но кто же затеял эту опасную игру — и ради чего?
Ольга Лукас — прозаик, журналист, блогер, автор сказок и повестей для детей и взрослых, лауреат литературной премии им. М. Е. Салтыкова-Щедрина (2012).";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0027284,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0685-5;Алло, говорит рыбка;;;вне серии;"Веккини С.; Пер. с итал. А. Поляковой";НИГМА;2019;20;40;NF0012015 ;9785433506855;350;10;Переплет;60 х 90 (1/6);0,48;;6+;Что делать, если твой одноклассник всё время молчит и ни с кем не общается? Возможно, он слишком застенчивый… Как же ему помочь? Так одна девочка в классе находит весьма необычное решение…;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0012015,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0633-6;Алмаз Раджи;;;Страна приключений;"Стивенсон Р.Л.; Пер. с англ. Т. Литвиновой, Е. Лопырёвой";НИГМА;2021;8;200;NF0018586  ;9785433506336;950;10;Переплет;84 х 108 (1/16);0,74;;12+;"Книга объединяет два самых известных цикла произведений Роберта Льюиса Стивенсона, повествующих об авантюрных похождениях эксцентричного принца Богемского Флоризеля.
Блистательный Флоризель и его верный помощник полковник Джеральдин отправляются на рискованную прогулку по вечернему Лондону, чтобы развеять скуку. Жажда острых ощущений приводит друзей в «Клуб самоубийц», где главная ставка — жизнь, а в руках принца оказывается загадочный Алмаз Раджи — за роковой драгоценностью тянется шлейф из поломанных судеб множества людей, стремившихся ею обладать. Впереди героев ждут дуэли, убийства, похищения и опасные встречи — но непоколебимая храбрость принца и преданность его наперсника помогут им выбраться из самых рискованных приключений.
Иллюстрации к книге созданы талантливой художницей Анной Хопта.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0018586,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0837-8;Аня и Даня не идут в школу;;;вне серии;Добросовестная О.Г.;НИГМА;2022;19;40;NF0023478  ;9785433508378;470;10;Переплет;60 х 90 (1/8);0,425;;6+;"Аня и Даня — непоседы-двойняшки. Эта осень должна стать для них особенной, ведь ребята пойдут в первый класс! 
Но однажды происходит кое-что невероятное: Даня случайно оживляет динозаврика из игры, которую разрабатывает папа-программист. Динозаврик оказывается очень милым и на редкость смышлёным. Аня с Даней решают сами обучить способного малыша всем наукам, а тут уж им будет не до школы! Ребята принимаются за дело, но их питомец учится подозрительно быстро и того гляди обгонит своих «учителей»…
Забавная история проиллюстрирована яркими и озорными рисунками Ирины Августинович.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0023478,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0875-0;Аня, Даня и Новый год на весь год;;;вне серии;Добросовестная О.Г.;НИГМА;2022;19;40;NF0022191  ;9785433508750;470;10;Переплет;60 х 90 (1/8);0,435;;6+;"У непосед-двойняшек Ани и Дани начались долгожданные зимние каникулы. Как жаль, что Новый год всего раз в году! Но что если праздновать его… каждый день? Ух, сколько тогда подарков можно будет получить от Деда Мороза! Попросить у него и 3D-ручку, и кучу кукол Барби, и платье для мамы… А ещё — каждый день есть бабушкины тортики и салат оливье. Вся семья включается в необычный эксперимент, но очень скоро Аня и Даня понимают, что всё идёт не так, как ожидалось…
Книга проиллюстрирована забавными и красочными рисунками Ирины Августинович.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022191,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1137-8;Аппетитная история;;1;вне серии;Павленко Т.;НИГМА;2024;19;28;NF0029177;9785433511378;550;10;Переплет;60 х 90 (1/8);0,385;;0+;На кухне в большой миске подходит тесто. Оно лежит там уже довольно долго и успело проголодаться — а вокруг столько всего вкусного: капуста, творог, сосиски и даже джем. Но у бабушки есть свой план, да и внуки скоро вернутся с прогулки!;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0029177,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0990-0;АПС;;;Всякое такое;Свиридов Я.А.;НИГМА;2023;22;128;NF0024282  ;9785433509900;450;10;Обложка;60 х 90 (1/16);0,2;;12+;"В школе переполох. Учитель Виктор Геннадьевич принёс на урок не спортивный кубок, не артиллерийский снаряд и даже не термос с чаем. Он принёс Капсулу времени! Никто толком не знает, для чего она нужна. Но необходимо написать письмо потомкам. С этого дня все ученики 6 «Д» оказываются втянуты в непредсказуемые события. Хотя как мирно всё начиналось…
Редактор, журналист, драматург и писатель Ярослав Свиридов знает, как рассказать смешно о серьёзном. Его герои – обыкновенные школьники в необыкновенных ситуациях. Но на их месте мог оказаться каждый из нас.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0024282,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0862-0;Арбузная голова. Сказка из городского парка;;;вне серии;Сафронова О.В.;НИГМА;2021;20;40;NF0018835  ;9785433508620;370;10;Переплет;60 х 90 (1/8);0,395;;0+;"Каждое утро сеньор Т. надевал шляпу и шёл читать в парк. Он никогда не смотрел по сторонам и тем более ни с кем не хотел общаться.
И так продолжалось бы очень долго, но однажды утром сеньор Т. не смог надеть шляпу. Он потрогал голову и не нашёл волос. Лысина была гладкой и твёрдой. Слишком... Посмотрев на себя в зеркало, сеньор Т. увидел в нём арбуз вместо головы! На секунду сеньор Т. даже возгордился, что именно с ним произошло такое событие. Но как же теперь быть, если у него на плечах будет жить арбуз своей арбузной жизнью? И к кому обратиться за помощью? Ведь сеньор Т. больше не мог говорить…
Книга проиллюстрирована лёгкими и прозрачными рисунками Екатерины Сафро.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0018835,,1,cover_asis,00000000,)&hide_Cookie=yes
